hhid,date,arm,timepoint,filter_id,pm25,bc,fueltype,group
33215,2019-04-01,Control,P1,3M51881,135.2699218,8.629993864,Biomass,Control
33340,2019-04-08,Intervention,BL,3M51895,198.0771458,13.77476477,Biomass,Baseline
35078,2019-04-10,Control,P1,3M51909,83.71233232,12.32603485,Biomass,Control
35075,2019-04-10,Intervention,P1,3M51914,40.27361511,4.410234794,LPG,Intervention
33260,2019-04-10,Control,BLP1,3M51915,47.39884393,8.085116058,Biomass,Control
35100,2019-04-12,Control,BL,3M51916,54.8395635,7.699414136,Biomass,Baseline
33358,2019-04-12,Control,BL,3M51924,201.5521835,18.03860936,Biomass,Baseline
33166,2019-04-12,Intervention,P2,3M51926,19.92433052,2.619369606,LPG,Intervention
33226,2019-04-12,Control,P1,3M51928,69.50075292,10.44814116,Biomass,Control
33373,2019-04-12,Intervention,BL,3M51929,153.6581272,11.2612405,Biomass,Baseline
33370,2019-04-12,Intervention,BL,3M51931,84.72908923,11.46881944,Biomass,Baseline
33159,2019-04-12,Intervention,P2,3M51933,25.39894625,4.174689874,LPG,Intervention
33173,2019-04-15,Control,P2,3M51937,75.94453134,9.282383069,Biomass,Control
33346,2019-04-12,Control,BL,3M51942,170.5822792,24.45136292,Biomass,Baseline
33363,2019-04-15,Control,BL,3M51950,54.26138517,7.352855703,Biomass,Baseline
33160,2019-04-15,Intervention,P2,3M51953,48.65052705,6.797485432,LPG,Intervention
35052,2019-04-15,Intervention,P2,3M51957,44.33859836,7.178856074,LPG,Intervention
35104,2019-04-22,Control,BL,3M51966,175.7551613,8.744535374,Biomass,Baseline
33367,2019-04-22,Control,BL,3M51967,258.7168468,14.66156358,Biomass,Baseline
33257,2019-04-26,Intervention,P1P2,3M51976,64.22511821,6.200724125,LPG,Intervention
33242,2019-04-24,Control,P1P2,3M51977,82.85352197,11.077726,Biomass,Control
33075,2019-04-24,Intervention,P2,3M51985,44.14542938,6.474891945,LPG,Intervention
33227,2019-04-24,Control,P1,3M51995,243.6562761,19.68387197,Biomass,Control
33330,2019-04-24,Control,BLP1,3M51996,93.69935645,15.18855873,Biomass,Control
33383,2019-04-24,Intervention,BL,3M52002,131.6127215,13.90622622,Biomass,Baseline
33387,2019-04-26,Control,BL,3M52016,332.6531764,11.13669692,Biomass,Baseline
35054,2019-04-29,Control,P2,3M52022,154.7026726,15.36908363,Biomass,Control
33288,2019-04-30,Intervention,P1,3M52023,17.23947581,3.246725984,LPG,Intervention
33246,2019-04-30,Control,P1,3M52026,126.4685832,12.15771295,Biomass,Control
33288,2019-04-30,Intervention,P1,3M52031,17.23947581,3.246725984,LPG,Intervention
