filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25,arm,fueltype,group
3M52510,0.0135,0.1215,0.1335,0.0249,0.0248,0.0214,0.0175,0.0101,0.054,0.0037,0.0322,0.0253,1.7749,4.8231,Intervention,LPG,Intervention
3M52518,0.0127,0.072,0.0554,0.0151,0.0237,0.0228,0.016,0.0092,0.0284,0.0037,0.0253,0.0121,1.4038,4.7937,Intervention,LPG,Intervention
3M52527,0.0083,0.0475,0.0317,0.0213,0.0281,0.0124,0.0132,0.0046,0.0185,0.0037,0.0096,0.0105,3.3272,4.7367,Intervention,LPG,Intervention
3M52533,0.0106,0.0387,0.0203,0.0244,0.0307,0.0196,0.0132,0.0104,0.0149,0.0183,0.0165,0.0104,1.3106,4.8237,Control,Biomass,Baseline
3M52540,0.0077,0.0418,0.0172,0.0233,0.0296,0.01,0.0162,0.0046,0.0168,0.0037,0.0215,0.0097,1.9429,4.9765,Intervention,LPG,Intervention
3M52542,0.0093,0.0589,0.0324,0.0226,0.0249,0.016,0.0128,0.0046,0.0249,0.0177,0.0152,0.0102,2.0881,4.7227,Control,Biomass,Control
3M52543,0.0154,0.0816,0.0687,0.0233,0.0504,0.0483,0.0188,0.0046,0.0334,0.0037,0.0489,0.0143,1.114,4.7909,Intervention,LPG,Intervention
3M52547,0.0109,0.0561,0.0499,0.0215,0.0369,0.0184,0.0132,0.0087,0.0194,0.0037,0.0373,0.0179,2.391,4.9682,Intervention,LPG,Intervention
3M52561,0.0105,0.0475,0.0181,0.0219,0.0264,0.0076,0.0146,0.0046,0.0173,0.0037,0.0155,0.0202,1.0866,4.7222,Intervention,LPG,Intervention
3M52590,0.0151,0.0505,0.041,0.0256,0.0595,0.0166,0.0132,0.0046,0.0208,0.018,0.0543,0.0235,1.7066,5.0246,Control,Biomass,Control
3M52596,0.0193,0.0614,0.0977,0.0122,0.0371,0.0968,0.0161,0.0098,0.0288,0.0201,0.0452,0.0158,1.7793,4.9382,Control,Biomass,Control
3M52601,0.0075,0.0399,0.0129,0.0058,0.0151,0.0327,0.0134,0.0046,0.0148,0.0037,0.0183,0.0101,0.581,4.6818,Intervention,LPG,Intervention
3M52616,0.0154,0.1232,0.1409,0.009,0.0333,0.0348,0.0211,0.0155,0.0778,0.0037,0.0551,0.0184,1.6568,4.7941,Intervention,LPG,Intervention
3M52623,0.0103,0.0541,0.062,0.0204,0.1061,0.0348,0.0185,0.0102,0.0237,0.0037,0.1569,0.0106,2.2666,7.275,Control,Biomass,Control
3M52627,0.0193,0.1074,0.1483,0.0127,0.0227,0.0184,0.0194,0.01,0.0449,0.0185,0.0338,0.0207,1.4169,4.7352,Intervention,LPG,Intervention
3M52628,0.0204,0.089,0.1181,0.0197,0.1223,0.0531,0.0173,0.0102,0.0497,0.0183,0.2019,0.0151,3.0316,10.4764,Control,Biomass,Control
3M52630,0.0137,0.0723,0.0918,0.0272,0.1575,0.017,0.0174,0.0088,0.0344,0.0163,0.2712,0.0143,2.4712,10.6816,Control,Biomass,Control
3M52631,0.0206,0.1189,0.1521,0.0162,0.033,0.0213,0.0205,0.0046,0.0562,0.0037,0.04,0.0227,1.1353,4.681,Intervention,LPG,Intervention
3M52632,0.0221,0.1072,0.1527,0.029,0.1243,0.0348,0.0188,0.0046,0.0499,0.0037,0.1713,0.0214,1.7465,7.3897,Control,Biomass,Control
3M52633,0.0361,0.1492,0.2285,0.0258,0.1209,0.0816,0.0238,0.0183,0.0758,0.0037,0.2134,0.0244,1.8473,7.0863,Intervention,Biomass,Baseline
3M52634,0.0178,0.0928,0.1123,0.0137,0.03,0.0162,0.0141,0.0046,0.0369,0.016,0.0279,0.0178,0.6462,4.6817,Intervention,LPG,Intervention
3M52636,0.0255,0.1652,0.2243,0.0213,0.073,0.0598,0.0213,0.0046,0.0845,0.0174,0.1079,0.0241,1.5514,6.3742,Control,Biomass,Control
3M52640,0.0204,0.099,0.1396,0.0147,0.0319,0.0214,0.0195,0.0089,0.0447,0.0156,0.0447,0.0226,2.34,5.9584,Control,Biomass,Control
3M52641,0.0185,0.0899,0.1076,0.015,0.02,0.0202,0.0148,0.0091,0.0365,0.0037,0.022,0.0225,0.3764,4.6893,Intervention,LPG,Intervention
3M52642,0.0196,0.1033,0.1498,0.0197,0.0955,0.0222,0.0188,0.0109,0.0443,0.0184,0.1321,0.0207,4.4212,6.1409,Control,Biomass,Baseline
3M52643,0.0291,0.1563,0.2727,0.0253,0.1106,0.0593,0.0232,0.0128,0.0717,0.0204,0.1546,0.0285,2.5822,7.0728,Intervention,Biomass,Baseline
3M52703,0.0093,0.0286,0.0048,0.0296,0.289,0.0254,0.0132,0.0046,0.0091,0.0037,0.6339,0.061,2.3613,15.3554,Control,Biomass,Control
3M52705,0.0157,0.0902,0.1166,0.0204,0.028,0.0201,0.0194,0.0046,0.0527,0.0183,0.0442,0.0177,1.0958,5.0114,Intervention,LPG,Intervention
3M52707,0.0075,0.0418,0.0081,0.0096,0.0144,0.0057,0.0132,0.0102,0.0138,0.0183,0.0152,0.011,0.4195,4.6815,Intervention,LPG,Intervention
3M52708,0.0154,0.0662,0.1032,0.0127,0.0504,0.0313,0.0157,0.0046,0.0237,0.0181,0.0466,0.0127,2.4827,5.015,Intervention,LPG,Intervention
